School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
;Cedarville University;Cedarville;Ohio;39.7471;-83.8109;;United States;美國;
;Centenary College of Louisiana;Shreveport;Louisiana;32.4653;-93.7955;;United States;美國;
;Centenary University;Hackettstown;New Jersey;40.854;-74.8257;;United States;美國;
;Central Baptist College;Conway;Arkansas;35.0753;-92.4692;;United States;美國;
;Central Christian College of Kansas;McPherson;Kansas;38.3714;-97.6605;;United States;美國;
;Central Christian College of the Bible;Moberly;Missouri;39.4179;-92.4364;;United States;美國;
;Central College;Pella;Iowa;41.4052;-92.9189;;United States;美國;
;Central Connecticut State University;New Britain;Connecticut;41.6759;-72.7862;;United States;美國;
;Central Methodist University;Fayette;Iowa;42.8417;-91.8038;;United States;美國;
;Central Methodist University;Fayette;Missouri;39.147;-92.6857;;United States;美國;
;Central Michigan University;Mount Pleasant;Michigan;43.5966;-84.7759;;United States;美國;
;Central Penn College;Summerdale;Pennsylvania;40.30898;-76.92747;;United States;美國;
;Central State University;Wilberforce;Ohio;39.7151;-83.8847;;United States;美國;
;Central Washington University;Ellensburg;Washington;46.9999;-120.5475;;United States;美國;
芝加哥青年會大學;Central YMCA College;Chicago;Illinois;41.8375;-87.6866;;United States;美國;Not pretty sure about the college name -  but it's the closest one This college existed from 1922 to 1945 -  and re-opened from 1961 to 1982
;Centralia College;Centralia;Missouri;39.2105;-92.1342;;United States;美國;
;Centre College;Danville;Virginia;36.5831;-79.4088;;United States;美國;
;Chadron State College;Chadron;Nebraska;42.826;-103.0025;;United States;美國;
;Chamberlain University;Downers Grove;Illinois;41.7949;-88.0172;;United States;美國;
;Chamberlain University;Addison;Texas;32.959;-96.8355;;United States;美國;
;Chaminade University of Honolulu;Honolulu;Hawaii;21.3294;-157.846;;United States;美國;
;Champlain College;Burlington;Vermont;44.4876;-73.2316;;United States;美國;
;Chapman University;Orange;California;33.8038;-117.8218;;United States;美國;
;Charles R. Drew University of Medicine and Science;Los Angeles;California;34.1141;-118.4068;;United States;美國;
;Charleston Southern University;Charleston;South Carolina;32.8168;-79.9687;;United States;美國;
